,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Genre,Demographics
84,,아이언 키드,Eon Kid,,['TV'],26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",['Spring 2006'],Unknown,"None found,",['Manga Entertainment'],['Daewon Media'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,24 min. per ep.,G - All Ages,6.90,#4820,#8673,"5,428",43,2968,"In a futuristic world, young Marty stumbles upon a bionic arm which endows him with superhuman powers and put him at the centre of a centuries-old struggle between good and evil. His teenager heart will now begin a long-way training together with two loyal friends: Buttons, his robo-puppy, and the brave Ally. (Source: Official website)",[],Iron Kid,,,,,,
85,"DICE, DNA Integrated Cybernetic Enterprises, DINOBREAKER",ディノブレイカー,,,['TV'],40,Finished Airing,"Dec 6, 2005 to Sep 19, 2006",['Winter 2006'],Unknown,"None found,",['Bandai Entertainment'],['Xebec'],Original,"['Action', 'Adventure', 'Sci-Fi']",,25 min. per ep.,PG - Children,6.38,#7794,#8845,"5,150",18,2451,"DICE (DNA Integrated Cybernetic Enterprises) is a large organization established to deal with problems in the Sarbylion galaxy. DICE F-99 is the only unit comprised entirely of children. When a problem arises, DICE is called to the rescue. And when their special training and skills aren`t enough, they rely on their Dinobreakers, which can transform from Vehicle Mode to Dino Mode, to help get the job done! Always on call, always on alert - DICE is ready for action! (Source: AniDB)",[],D.I.C.E.,,,['Mecha'],['Kids'],,
86,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6586,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,['Kids'],,
87,,格闘美神 武龍[ウーロン] REBIRTH,Fighting Beauty Wulong Rebirth,,['TV'],25,Finished Airing,"Apr 2, 2006 to Oct 1, 2006",['Spring 2006'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Action', 'Comedy']","['Martial Arts', 'School']",25 min. per ep.,R - 17+ (violence & profanity),6.85,#5063,#9311,"4,410",4,1180,Mao Lan continues growing into her path in life through what she learns while fighting. Her grandfather thinks that she has grown complacent and decides to train an adversary for her next Prime Mat appearance. Training with her friends and companions Mao Lan slowly advances through life. (Source: AniDB),"['Prequel (TV) Kakutou Bijin Wulong', 'Adaptation (Manga) Kakutou Bijin Wulong']",Kakutou Bijin Wulong: Rebirth,,,,['Seinen'],,
88,Shen Diao Xia Lu II: Xiang Yang Feng Yun,神鵰俠侶 II 襄陽風雲,Legend of the Condor Hero II,,['TV'],26,Finished Airing,"Jan 30, 2005 to Sep 2, 2006",['Winter 2005'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",,20 min. per ep.,PG-13 - Teens 13 or older,7.23,#3221,#9556,"4,070",5,1536,Sequel to Shin Chou Kyou Ryo: Condor Hero.,"['Prequel (TV) Shin Chou Kyou Ryo: Condor Hero', 'Sequel (TV) Shin Chou Kyou Ryo: Condor Hero III']",Shin Chou Kyou Ryo: Condor Hero II,,,['Historical'],,,
89,"BakéGyamon, Gekifu Bakegyamon",妖逆門,,,['TV'],51,Finished Airing,"Apr 3, 2006 to Mar 26, 2007",['Spring 2006'],Mondays at 18:00 (JST),"['TV Tokyo', 'Dentsu']","None found,",['Radix'],['Manga'],"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Strategy Game']",25 min. per ep.,PG-13 - Teens 13 or older,6.63,#6285,#9577,"4,055",16,1025,"Sanshirou's chances of having an adventure are slim to none in his tiny island hometown, until the day a mysterious stranger invites him to play a game... Without warning, Sanshirou is taken to a backwards universe to play BakéGyamon—a game pitting monsters against monsters. Along the way he meets other players who have a particular reason for being there—to obtain the wish that is granted to the winner. But how far can Sanshirou get when the monsters he's been paired with are a bunch of little mud balls?! (Source: VIZ Media)","['Adaptation (Manga) Bakegyamon', '']",Bakegyamon,,,,['Shounen'],,
90,,アニマル横町,Animal Lane,,['TV'],51,Finished Airing,"Oct 4, 2005 to Sep 26, 2006",['Fall 2005'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Dentsu', 'TV Tokyo Music', 'Dentsu Tec', 'Geneon Entertainment']","None found,",['Gallop'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,7.00,#4400,#9792,"3,797",12,1400,"On the first day her family moved to their new house, 5-year-old Ami-chan made friends with three talking animals who came out of a door in her bedroom floor, which she finds out leads to Animal Yokocho, another world. The three are Issa, an overly innocent, soft-spoken panda, Kenta, a highly strung, red-scarf-loving bear who puts on an almost constant tough-guy act, and Iyo, a rabbit who usually holds her own well-being and enjoyment over the happiness (and safety) of her friends. Even at only 5 years old, Ami-chan is easily the most rational of the group, and she's a little wary at first, but she eventually comes around and starts spending her free time with them. A typical day involves Ami-chan and the three doing different things to pass the time, often playing a seemingly innocent game, but in AniYoko style. Unfortunately for Ami-chan, the AniYoko version usually turns out to be drastically different, much less logical, and usually more dangerous than the ordinary version. (Source: ANN)","['Adaptation (Manga) Animal Yokochou', '']",Animal Yokochou,,,,['Shoujo'],,
91,,どーもくん,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7541,#10460,"3,085",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,['Kids'],,
92,Bakukyuu Hit! Crash B-Daman,爆球HIT! クラッシュビーダマン,,,['TV'],50,Finished Airing,"Jan 9, 2006 to Dec 25, 2006",['Winter 2006'],Mondays at 18:00 (JST),"None found,","None found,","None found,",Unknown,,,23 min. per ep.,PG - Children,6.12,#9247,#10941,"2,663",13,1117,"Hitto Tamaga living on his own after his father had gone missing, receives a Crash B-Daman, his first B-Daman, as his birthday present from his missing father. ""Crash your adversity!"" Holding this message from his father in his heart, Hitto makes up his mind to participate in B-Daman battle tournament called ""B-1 Crash Cup."" Through the battles, Hitto encounters a lot of rivals and sometimes develops friendships with them. After the tournament, he comes to know about a secret society of rascal B-ders who find reason for living only in crashing. What is their true purpose? And what secret is there behind Hitto's B-Daman? Go! Fight, Hitto! Crash the evils and grab your future in your own hand! (Source: d-rights)","['Adaptation (Manga) Bakkyuu HIT! Crash B-daman', '']",Bakukyuu Hit! Crash B-Daman,,,['Strategy Game'],['Kids'],['Adventure'],
93,,おじゃる丸,Prince Mackaroo,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7747,#11557,"2,227",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,['Kids'],,
94,Wan Wan Celepoo Sore Yuke! Tetsunoshin,ワンワンセレプー それゆけ！徹之進,,,['TV'],51,Finished Airing,"Jan 7, 2006 to Dec 30, 2006",['Winter 2006'],Unknown,"['Tokyu Agency', ""We've Inc.""]","None found,",['Studio Comet'],Original,"['Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,6.36,#7936,#12678,"1,560",2,493,"The Inuyama Family, along with their pet dog Tetsunoshin moves to the famous Hoppongi Hills (modeled after Roppongi Hills) from Kyushu. Rumi Inuyama's father owns an IT Company in Japan and is a step further to becoming number one. However, Tetsunoshin learned that his master's family loaned a lot of money renting their home in Hoppongi Hills, almost to the point of the whole company becoming Bankrupt. To make things even worse, the whole family spends a lot of money on everything, making Tetsunoshin's problems worse. To solve this problem, Tetsunoshin teamed up with the Hills Dogs and will do anything to pay all the Inuyama Family's expenses. (Source: Wikipedia)",[],Wanwan Celepoo Soreyuke! Tetsunoshin,,,['Pets'],['Kids'],,
95,,まじめにふまじめ　かいけつゾロリ,,,['TV'],97,Finished Airing,"Feb 13, 2005 to Jan 28, 2007",['Winter 2005'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Ajia-do'],Original,,,24 min. per ep.,PG - Children,6.72,#5774,#12856,"1,473",7,451,"Season 1 focuses on the wizard Nelly and the mysterious Najo as Zorori, Ishishi, and Noshishi help them restore the magic forest in a magical country (episodes 1-50). Season 2 focuses on Puppe's search for the Minus Eel (episodes 51-97). (Source: Wikipedia)","['Prequel (TV) Kaiketsu Zorori', 'Sequel (TV) Motto! Majime ni Fumajime Kaiketsu Zorori']",Majime ni Fumajime Kaiketsu Zorori,,,,['Kids'],['Adventure'],
96,Saru! Get You: On Air,サルゲッチュ ～オンエアー～,Ape Escape,,['TV'],26,Finished Airing,"Apr 8, 2006 to Sep 30, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Xebec'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",,15 min. per ep.,PG - Children,6.05,#9644,#12936,"1,440",5,417,"An evil monkey, Specter, has escaped a circus, using a mind-controlling device which allows him to become smarter and have access to controlling the monkeys. Kakeru is called over by a professor in order to capture all the monkeys, including the one's who's controlling them: Specter. (Source: ANN)","['Sequel (TV) Saru Getchu: On Air 2nd', '']",Saru Getchu: On Air,,,,['Kids'],,
97,,しましまとらのしまじろう,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,5.92,#10325,#13245,"1,322",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Anthropomorphic'],['Kids'],,
98,,ハローキティ りんごの森のファンタジー,Hello Kitty: The Fantasy of the Apple Forest,Hello Kitty y sus Amigos: Fantasía en el Bosque de las Manzanas,['TV'],13,Finished Airing,"Apr 4, 2006 to Sep 19, 2006",['Spring 2006'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,"['Comedy', 'Fantasy']",,9 min. per ep.,PG - Children,6.02,#9830,#13346,"1,283",7,383,"Kitty and Mimmy come upon the Apple Forest thanks to the help of a forest fairy. The fairy kingdom welcomes them as the ""Twin Heroines"" and ask that they save the princess. The key to the rescue is a golden apple and so the sisters' adventure begins.","['Sequel (TV) Hello Kitty: Ringo no Mori no Mystery', '']",Hello Kitty: Ringo no Mori no Fantasy,,,,['Kids'],,
99,,ザ・ワールド・オブ・ゴールデン・エッグス,,,['TV'],26,Finished Airing,"Jan 7, 2005 to Dec 9, 2006",['Winter 2005'],Fridays at 22:45 (JST),"None found,","None found,","['Plus Heads', 'Studio Crocodile']",Original,,,13 min. per ep.,PG-13 - Teens 13 or older,6.43,#7518,#13487,"1,237",4,281,The citizens of Turkey's Hill model a bizzare American-esque town and engage in non-sequitur behavior. (Source: ANN),[],The World of Golden Eggs,,,['Parody'],,['Comedy'],
100,,親子クラブ,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12199,#13606,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,
101,,アクビガール,,,['TV'],26,Finished Airing,"Apr 2, 2006 to Sep 24, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Tatsunoko Production'],Unknown,"['Comedy', 'Fantasy']",,4 min. per ep.,PG - Children,5.63,#11670,#13912,"1,099",0,297,"Akubi-chan is a cute magical girl. She is good at magic, she can turn into any form by tapping a tambourine, and she can grant any dream or wishes. Usually, Akubi-chan is in a vase, but when Ruru-chan, the owner of the vase, yarns (akubi), Akubi-chan pops out of the vase. Ruru-chan is in the 1st grade in elementary school, but she is little precocious and loves secretly her classmate Itoshi-kun living next-door. Akubi-chan uses various magic to make them good friends, but she always fails. However, for her best friend Ruru-chan, Akubi-chan gets out of the vase and taps the tambaine to play Cupid. (Source: Animenfo)",[],Akubi Girl,,,,,,
102,,吉宗,,,['TV'],24,Finished Airing,"Apr 6, 2006 to Sep 14, 2006",['Spring 2006'],Unknown,"None found,","None found,","['AIC Spirits', 'Ginga Ya', 'Gonzino']",Other,,,24 min. per ep.,PG - Children,5.88,#10554,#14472,948,0,239,"It is the end of the Edo Era, a flourishing period when stylish civilians, samurai and old-fashioned farmers live peacefully together. However, if you take a closer look at their lives, you'll notice that it is actually a parallel world in which modern conveniences, such as cellular phones, personal computers, microwave ovens, motorcycles, subways, and so on, exist. If you enter a night club, you'll find young people dancing to blaring trance music. However, you will also find that they wear kimonos, that the darkness is illuminated by candles, and that the stage is covered by tatami mats! While the people reflect the fashions and manners of the Edo Era, they reside within a strange world where the ""present"" and the ""past"" coexist. Welcome to the Yoshimune world that no one has ever seen! (Source: AnimeNfo)",[],Yoshimune,,,['Historical'],,['Comedy'],
103,,新星輝デュエル・マスターズ フラッシュ,,,['TV'],24,Finished Airing,"Apr 10, 2006 to Mar 23, 2007",['Spring 2006'],Unknown,['G&G Entertainment'],"None found,",['SynergySP'],Original,,,21 min. per ep.,G - All Ages,5.69,#11407,#14610,917,0,212,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shinseiki Duel Masters Flash,,,,['Kids'],['Comedy'],
104,"Shibawanko's Spirit of Wa, Shibawanko's Japanese Spirit, Shibawanko's Spirit of Tradition",しばわんこの和のこころ,,,['TV'],80,Finished Airing,"Apr 5, 2006 to Mar 14, 2007",['Spring 2006'],Wednesdays at 23:00 (JST),"['Hakusensha', 'NHK Enterprises']","None found,",['Three-d'],Unknown,,,2 min. per ep.,G - All Ages,[],#14211,#14919,834,1,,"Based on a japanese children`s book by Yoshie Kawaura. Shiba-wanko, a Shiba-inu dog, and Miike-nyanko, a calico cat, live together in a classic Japanese-style house with the traditional Japanese alcove called a tokonoma. Shiba-wanko is a very gentle and hardworking soul who does all of the cleaning, laundry and cooking in the house. Miike-nyanko is a different type all together, being rather temperamental and not very good with housework. Together, these two learn the manners and customs associated with events such as the proper Japanese way to treat one`s guests, preparing for a Japanese New Year and how to enjoy the kimono, the traditional Japanese costume. Each chapter covers a specific topic which has to do with living in ""Wa"" (the Japanese-style spirit of peace and harmony) throughout the changing seasons. (Source: AniDB)",[],Shibawanko no Wa no Kokoro,,,['Educational'],['Kids'],,
105,,ぜんまいざむらい,,,['TV'],215,Finished Airing,"Apr 3, 2006 to Feb 6, 2009",['Spring 2006'],Unknown,['Aniplex'],"None found,","['A-1 Pictures', 'No Side']",Original,,,5 min. per ep.,G - All Ages,5.85,#10698,#15132,783,2,233,"200 years ago, Zenmai Zamurai was a thief by profession. While stealing from a house one night, he fell down a well and died. He was then resurrected by Daifukunokami and a wind-up key was placed on his head. If the key wound down, Zennosuke would die. The only way the key can be wound is by Zennosuke doing good deeds. In order to achieve this end, he is given the Dango-ken, which is a sword with Japanese Dumplings skewered onto it. Whenever Zenmai Zamurai sees people doing injustice or generally being out of control, he uses his sword to shoot the dumplings into their mouths. When the dumplings are eaten, the people suddenly become happy and realize the error of their ways. He helps out the people of his village in many ways, big and small. Whenever he has done well, a rainbow comes out of the sky to wind up his key. -Wikipedia",[],Zenmai Zamurai,,,,['Kids'],['Comedy'],
106,Miracle Mimika,味楽る!ミミカ,Miracle! Mimika,,['TV'],225,Finished Airing,"Apr 3, 2006 to Mar 13, 2009",['Spring 2006'],Unknown,['NHK'],"None found,",['Digital Media Lab'],Original,"['Gourmet', 'Slice of Life']",,10 min. per ep.,G - All Ages,[],#20319,#16052,619,0,,"Himeno Mimika is a daughter of historical cook family. She goes to a cooking school, Miracle Academy which train cooks all over the world. Vying with rivals, she brings out her gift, and she grows up as a cook. (Source: AnimeNfo)",[],Miracle! Mimika,,,,['Kids'],,
107,"Kotenkotenko, Kotenco and Matenco",こてんこてんこ,,,['TV'],52,Finished Airing,"Oct 6, 2005 to Sep 28, 2006",['Fall 2005'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems']","None found,",['I-move'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",,14 min. per ep.,G - All Ages,[],#19563,#16918,514,1,,"Kotencotenco is a gag strip anime for young children featuring the flourishes of the Prince of the country of the Paradice, Kotenco. Kotenco guards the “Angel Star” for the Queen in the Paradice. Kotenco is a very good child, but when the bad spirits rise, Kotenco transforms into Matenco. Unlike Kotenco, Matenco is a very naughty child and troubles everyone. But don't worry! By changing the angel ring, Matenco goes back to being Kotenco. Will Kotenco be able to guard the “Angel Star” from the ruler and the Devil of the Country of the Ground, who is aiming for the Paradice?",[],Kotencotenco,,,,['Kids'],,
108,Odenkun,おでんくん,,,['TV'],156,Finished Airing,"Aug 4, 2005 to Feb 27, 2009",['Summer 2005'],Unknown,['Studio Egg'],"None found,","None found,",Picture book,,,7 min. per ep.,G - All Ages,[],#20789,#17008,506,1,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Sequel (TV) Ganbare! Oden-kun', '']",Oden-kun,,,,,['Comedy'],
109,Rascal in the Snag Forest,ぽかぽか森のラスカル,,,['TV'],52,Finished Airing,"Apr 1, 2006 to Mar 24, 2007",['Spring 2006'],Unknown,"None found,","None found,",['Nippon Animation'],Unknown,,,5 min. per ep.,G - All Ages,[],#21087,#17188,489,1,,"Rascal is an energetic racoon, who lives in a secret forest called ""The Snag Forest"". Although sometimes his mother scolds him when he does mischief, the engaging and kind personality of Rascal always makes him popular in the forest. This series depicts everyday adventures of Rascal, and his cheerful friends such as Rilulu, a cute girl racoon, Rock'n, a skunk who loves to play music, Iggy, a mouse who always eats nuts and a lot more!! (Source: AniDB)",[],Poka Poka Mori no Rascal,,,,['Kids'],,
110,,えほん寄席,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17875,#17193,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,['Kids'],['Horror'],
111,"Hula Kapper, Furakappa",フラカッパー,,,['TV'],78,Finished Airing,"Apr 1, 2006 to Dec 21, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Office AO'],Original,,,3 min. per ep.,G - All Ages,[],#18774,#17380,468,1,,Some sort of educationnal anime for children. A bit of humoristic.,"['Sequel (Special) Hula Kappa: Owakare-kai (2) Atarashii wo Tomodachi', '']",Hula Kappa,,,,,['Comedy'],
112,"Nalong 2, Longman: The Little Big Hero, Kaiketsu: Longman Nalong",쾌걸롱맨 나롱이,,,['TV'],52,Finished Airing,Jan 2006 to Mar 2007,['Winter 2006'],Unknown,['Studio Kaab'],"None found,","None found,",Original,,,15 min. per ep.,G - All Ages,[],#19702,#19322,325,2,,Someone is out to conquer Lulu forest and it's up to the Nalong and his friends to to figure out who and stop them! When Nalong's girlfriend Ukkya is taken by force and Longman is zapped by a laser beam resulting in an unfavorable transformation--Nalong has more on his plate than he can handle!,"['Prequel (TV) Turuturutu Narongi', 'Sequel (TV) Green Saver']",Kwaegeol Longman Narongi,,,,['Kids'],['Adventure'],
113,Tama & Friends: Search for It! The Magic Puni-Puni Stone,タマ&フレンズ 探せ!魔法のプニプニストーン,,,['TV'],26,Finished Airing,"May 6, 2006 to Nov 4, 2006",['Spring 2006'],Saturdays at Unknown,"None found,","None found,","['Group TAC', 'Dongwoo A&E']",Other,"['Adventure', 'Comedy']",,24 min. per ep.,G - All Ages,[],#14727,#19383,322,1,,"A spin-off of Tama & Friends taking place in a fantasy world. Tama, along with his friends Shima and Hat, have to find magic stones accross the universe. (Source: Anilist)",[],Tama & Friends: Sagase! Mahou no Punipuni Stone,,,,['Kids'],,
114,,パンツぱんくろう,,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#20968,#19434,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,,,,['Kids'],,
115,,チビナックス,,,['TV'],25,Finished Airing,"Apr 13, 2006 to Sep 28, 2006",['Spring 2006'],Thursdays at 21:54 (JST),"None found,","None found,","None found,",Other,,,3 min. per ep.,G - All Ages,[],#17285,#19945,289,0,,TEAM NACS (also known as Team Canucks) are a surreal comedy troupe from Hokkaido who star in this short series. (Source: The Anime Encyclopedia),"['Sequel (TV) Chibinacs 2.0', '']",Chibinacs,,,,,['Comedy'],
116,,南の島の小さな飛行機 バーディー,,,['TV'],105,Finished Airing,"Dec 26, 2005 to Apr 2, 2007",['Winter 2006'],Saturdays at 17:50 (JST),['NHK'],"None found,",['Studio Deen'],Original,,,10 min. per ep.,PG - Children,[],#20273,#23092,135,0,,"This is Bird Paradise Island, a small island in the southern sea. Birdie is a newcomer and small plane that has been working at Bird Paradise Airport on this island for two years. Aiming to become the first airplane someday, he is working day and night on sightseeing flights with his rival Philip, a small helicopter, and his good friend, Annie, a goldfish-shaped helicopter. A small airplane, Birdy, and his funny and unique friends fly fast!",[],Minami no Shima no Chiisana Hikouki Birdy,,,['Anthropomorphic'],['Kids'],['Adventure'],
117,Kidou Senshi Gundam SEED C.E. 73: Stargazer,機動戦士ガンダムSEED C.E.73: Stargazer,Mobile Suit Gundam SEED C.E.73: Stargazer,,['ONA'],3,Finished Airing,"Jul 14, 2006 to Sep 29, 2006",,,"None found,",['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Military', 'Space']",16 min. per ep.,PG-13 - Teens 13 or older,7.12,#3784,#4681,"25,078",44,13483,"In C.E. 73, tensions between Naturals and Coordinators continue to persist, eventually leading to another war between the Earth Alliance and PLANT. Sven Cal Bayan is a Natural pilot of the elite EA squad, the Phantom Pain, and carries out his squad's various anti-Coordinator missions without fail. Selene McGriff is a Coordinator researcher at the neutral Deep Space Survey and Development Organization (DSSD) and a developer of the GSX-401FW Stargazer space exploration mobile suit. Though their backgrounds are completely different, the expanding war will nevertheless force their paths to collide. (Source: ANN)","['Adaptation (Manga) Kidou Senshi Gundam SEED C.E.73 Stargazer', '']",Kidou Senshi Gundam SEED C.E. 73: Stargazer,,,,,,
118,,FLAG（フラッグ）,,,['ONA'],13,Finished Airing,"Jun 16, 2006 to Mar 2, 2007",,,['Aniplex'],['Bandai Entertainment'],['The Answer Studio'],Original,,"['Adult Cast', 'Mecha', 'Military']",24 min. per ep.,PG-13 - Teens 13 or older,7.12,#3821,#4851,"22,997",78,5134,"In 20xx, a civil war broke out in a small country in Asia in spite of the dispatch of UN forces. But a picture taken by accident in the battlefield accelerates the peace process: a photograph of a flag, which became the symbol of peace. However, just before the peace agreement is finalized, the flag is stolen by an armed extremist group in order to obstruct the truce. To rescue the flag, the UN sends the Special Development Command (SDC, which is armed with the High Agility Versatile Weapon Carrier (HAVWC)), along with an embedded photojournalist to record their activities. That photojournalist is Saeko Shirasu—the young camerawoman who took the picture of the flag. (Source: ANN)",[],Flag,,,,,,
119,,星空キセキ,Hoshizora Kiseki,,['ONA'],1,Finished Airing,"Jul 10, 2006",,,"None found,",['Sentai Filmworks'],['CoMix Wave Films'],Original,"['Romance', 'Sci-Fi']",,27 min.,PG-13 - Teens 13 or older,5.71,#11347,#6199,"12,305",8,5064,"Kozue is a girl who loves astronomy, particularly the stars. One night, on an excursion to witness a meteorite, she meets Ginga, a boy who is able to help scientists discover more information about the stars through a mysterious ability of his. However, he is forced to stay in a protective suit in order to carry out his mission. Because of this, Kozue decides to convince Ginga to make his own decisions & to take off the suit using his own will. (Source: ANN)",[],Hoshizora Kiseki,,,,,,
120,"Ayu Mayu Theater, Ayu Mayu Gekijou",あゆまゆ劇場,,,['ONA'],7,Finished Airing,"Sep 29, 2006 to Feb 23, 2007",,,"['Lantis', 'Age', 'Rakuonsha']","None found,",['Picture Magic'],Visual novel,,,5 min. per ep.,PG-13 - Teens 13 or older,6.16,#9034,#7874,"6,851",6,3215,"A spin-off show from Kimi ga Nozomu Eien. It's about the daily adventures of Ayu and Mayu, the two waitresses from Sky Temple. (Source: AniDB)","['Prequel (OVA) Kimi ga Nozomu Eien: Ayu Mayu Gekijou Prologue', '']",Kimi ga Nozomu Eien: Ayu Mayu Gekijou,,,,,['Comedy'],
121,Sorry I Love You: Between of One Year,미안하다 사랑한다,,,['ONA'],1,Finished Airing,"Aug 8, 2006",,,['G&G Entertainment'],"None found,",['Studio Meditation With a Pencil'],Other,,,33 min.,G - All Ages,5.75,#11164,#11783,"2,080",1,391,"When hit KBS drama I'm Sorry, I Love You aired in 2004, it recorded high TV ratings, won the acclaim of critics, and quickly became one of the flagbearers of the Korean Wave. The tragic love story of Mu Hyeok (So Ji Sub of What Happened in Bali) and Eun Chae (Yim Soo Jung of Lump Sugar and I'm a Cyborg, But That's OK) made stars out of its leads and attracted an enormous fanbase throughout Asia. Two years later, G&G Entertainment released a 35-minute animated version of the drama, Between of One Year, consisting of highlights from the drama and new scenes dealing with the final moments of Eun Chae and Mu Hyeok's relationship. The script was supervised by the writer of the original live-action drama, Lee Kyung Hee.",[],Mianhada Saranghanda,,,,,['Drama'],
122,,荒くれ純一の涙,,,['ONA'],1,Finished Airing,Aug 2006,,,"None found,","None found,","None found,",Original,,,1 min.,PG - Children,4.12,#13756,#14047,"1,066",1,637,An independent production by Takashi Taniguchi.,[],Arakure Junichi no Namida,,,,,['Comedy'],
